Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Bylis,0.88,0.88,1.75,,0.69,1.38,2.06,,0.78,1.13,1.91,32
Egnatia R.,1.31,0.88,2.19,,1.38,0.81,2.19,,1.34,0.84,2.19,32
Erzeni Shijak,1.00,1.06,2.06,,1.00,1.50,2.50,,1.00,1.28,2.28,32
Kastrioti Kruje,1.06,0.94,2.00,,0.44,1.63,2.06,,0.75,1.28,2.03,32
Kukesi,0.75,0.81,1.56,,0.88,1.31,2.19,,0.81,1.06,1.88,32
Laci,1.38,1.13,2.50,,1.13,1.31,2.44,,1.25,1.22,2.47,32
Partizani T.,1.50,1.00,2.50,,1.44,1.13,2.56,,1.47,1.06,2.53,32
Teuta Durres,0.94,0.94,1.88,,1.00,1.38,2.38,,0.97,1.16,2.13,32
Tirana,2.00,1.06,3.06,,1.00,0.69,1.69,,1.50,0.88,2.38,32
Vllaznia S.,1.38,1.00,2.38,,0.75,1.06,1.81,,1.06,1.03,2.09,32
