Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
ASO Chlef,1.55,0.55,2.09,,0.55,1.55,2.09,,1.05,1.05,2.09,22
Chelghoum,0.36,2.18,2.55,,0.27,2.82,3.09,,0.32,2.50,2.82,22
CR Belouizdad,1.73,0.45,2.18,,1.36,0.73,2.09,,1.55,0.59,2.14,22
CS Constantine,1.55,0.45,2.00,,0.82,0.91,1.73,,1.18,0.68,1.86,22
El Bayadh,1.18,0.27,1.45,,0.91,1.36,2.27,,1.05,0.82,1.86,22
ES Setif,1.64,0.36,2.00,,1.00,1.73,2.73,,1.32,1.05,2.36,22
JS Kabylie,1.36,0.91,2.27,,0.45,0.82,1.27,,0.91,0.86,1.77,22
JS Saoura,1.73,0.36,2.09,,0.55,1.27,1.82,,1.14,0.82,1.95,22
Khenchela,1.18,0.36,1.55,,0.73,1.64,2.36,,0.95,1.00,1.95,22
MC Alger,1.09,0.45,1.55,,0.36,0.73,1.09,,0.73,0.59,1.32,22
MC Oran,1.27,0.36,1.64,,0.50,1.70,2.20,,0.90,1.00,1.90,21
NC Magra,1.27,0.82,2.09,,1.00,1.82,2.82,,1.14,1.32,2.45,22
Paradou AC,1.20,1.20,2.40,,0.82,1.45,2.27,,1.00,1.33,2.33,21
RC Arbaa,2.45,1.09,3.55,,0.36,1.73,2.09,,1.41,1.41,2.82,22
US Biskra,1.09,0.55,1.64,,0.64,1.27,1.91,,0.86,0.91,1.77,22
USM Alger,1.80,0.60,2.40,,0.60,0.90,1.50,,1.20,0.75,1.95,20
