Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Anderlecht,1.56,1.25,2.81,,1.31,1.00,2.31,,1.44,1.13,2.56,32
Antwerp,2.19,0.69,2.88,,1.38,0.94,2.31,,1.78,0.81,2.59,32
Cercle Brugge,1.82,1.06,2.88,,1.00,1.63,2.63,,1.42,1.33,2.76,33
Charleroi,1.40,1.33,2.73,,1.29,1.47,2.76,,1.34,1.41,2.75,32
Club Brugge,2.06,0.94,3.00,,1.24,1.24,2.47,,1.64,1.09,2.73,33
Eupen,1.29,1.94,3.24,,1.13,2.19,3.31,,1.21,2.06,3.27,33
Gent,1.69,0.88,2.56,,2.19,1.31,3.50,,1.94,1.09,3.03,32
Kortrijk,0.88,1.56,2.44,,1.31,1.94,3.25,,1.09,1.75,2.84,32
KRC Genk,2.44,0.81,3.25,,2.00,1.25,3.25,,2.22,1.03,3.25,32
KV Mechelen,1.75,1.63,3.38,,0.80,2.27,3.07,,1.29,1.94,3.23,31
OH Leuven,1.63,1.38,3.00,,1.59,1.41,3.00,,1.61,1.39,3.00,33
Oostende,1.06,1.94,3.00,,1.06,2.63,3.69,,1.06,2.27,3.33,33
Royale Union SG,1.94,0.94,2.88,,2.06,1.44,3.50,,2.00,1.19,3.19,32
Seraing,0.44,1.75,2.19,,1.19,2.31,3.50,,0.81,2.03,2.84,32
Sint-Truiden,1.25,1.13,2.38,,1.00,1.24,2.24,,1.12,1.18,2.30,33
Standard Liege,1.88,1.06,2.94,,1.38,1.56,2.94,,1.64,1.30,2.94,33
Westerlo,2.35,1.53,3.88,,1.25,1.63,2.88,,1.82,1.58,3.39,33
Zulte-Waregem,1.56,2.69,4.25,,1.35,1.88,3.24,,1.45,2.27,3.73,33
