Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
AC Milan,2.15,1.31,3.46,,1.14,1.36,2.50,,1.63,1.33,2.96,27
AS Roma,1.31,0.69,2.00,,1.29,1.21,2.50,,1.30,0.96,2.26,27
Atalanta,1.85,1.23,3.08,,1.53,1.07,2.60,,1.68,1.14,2.82,28
Bologna,1.21,0.71,1.93,,1.23,2.00,3.23,,1.22,1.33,2.56,27
Cremonese,0.57,1.79,2.36,,1.07,1.93,3.00,,0.82,1.86,2.68,28
Empoli,0.92,1.15,2.08,,0.86,1.50,2.36,,0.89,1.33,2.22,27
Fiorentina,1.36,1.36,2.71,,1.00,0.86,1.86,,1.18,1.11,2.29,28
Hellas Verona,1.07,1.57,2.64,,0.50,1.43,1.93,,0.79,1.50,2.29,28
Inter Milan,1.80,0.53,2.33,,1.54,1.85,3.38,,1.68,1.14,2.82,28
Juventus,2.27,0.80,3.07,,0.92,0.77,1.69,,1.64,0.79,2.43,28
Lazio,1.64,0.86,2.50,,1.46,0.54,2.00,,1.56,0.70,2.26,27
Lecce,1.00,1.31,2.31,,0.79,1.07,1.86,,0.89,1.19,2.07,27
Monza,1.36,1.14,2.50,,1.00,1.62,2.62,,1.19,1.37,2.56,27
Napoli,2.54,0.69,3.23,,2.21,0.50,2.71,,2.37,0.59,2.96,27
Salernitana,1.36,1.43,2.79,,0.92,2.08,3.00,,1.15,1.74,2.89,27
Sampdoria,0.43,1.36,1.79,,0.77,1.92,2.69,,0.59,1.63,2.22,27
Sassuolo,1.31,1.15,2.46,,1.29,1.79,3.07,,1.30,1.48,2.78,27
Spezia,1.07,1.43,2.50,,0.62,1.77,2.38,,0.85,1.59,2.44,27
Torino,0.85,0.92,1.77,,1.29,1.50,2.79,,1.07,1.22,2.30,27
Udinese,1.69,1.15,2.85,,1.07,1.14,2.21,,1.37,1.15,2.52,27
