Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Birmingham City,1.16,1.11,2.26,,1.05,1.53,2.58,,1.11,1.32,2.42,38
Blackburn,1.39,0.78,2.17,,0.95,1.47,2.42,,1.16,1.14,2.30,37
Blackpool,1.26,1.37,2.63,,0.84,1.68,2.53,,1.05,1.53,2.58,38
Bristol City,1.26,0.95,2.21,,1.11,1.47,2.58,,1.18,1.21,2.39,38
Burnley,2.15,0.65,2.80,,1.72,0.89,2.61,,1.95,0.76,2.71,38
Cardiff City,0.84,0.89,1.74,,0.67,1.33,2.00,,0.76,1.11,1.86,37
Coventry City,1.26,0.89,2.16,,1.21,1.05,2.26,,1.24,0.97,2.21,38
Huddersfield,0.89,1.11,2.00,,0.79,1.68,2.47,,0.84,1.39,2.24,38
Hull City,1.11,1.37,2.47,,1.16,1.42,2.58,,1.13,1.39,2.53,38
Luton Town,1.26,1.00,2.26,,1.16,0.84,2.00,,1.21,0.92,2.13,38
Middlesbrough,1.89,0.74,2.63,,1.74,1.47,3.21,,1.82,1.11,2.92,38
Millwall,1.53,0.89,2.42,,1.00,1.21,2.21,,1.26,1.05,2.32,38
Norwich City,1.42,1.16,2.58,,1.32,1.00,2.32,,1.37,1.08,2.45,38
Preston,0.74,1.16,1.89,,1.05,1.11,2.16,,0.89,1.13,2.03,38
QP Rangers,1.05,1.42,2.47,,0.95,1.68,2.63,,1.00,1.55,2.55,38
Reading,1.47,1.11,2.58,,0.63,1.95,2.58,,1.05,1.53,2.58,38
Rotherham,1.67,1.28,2.94,,0.58,1.47,2.05,,1.11,1.38,2.49,37
Sheffield Utd,1.94,0.94,2.89,,1.21,0.84,2.05,,1.57,0.89,2.46,37
Stoke City,1.21,1.11,2.32,,1.32,1.26,2.58,,1.26,1.18,2.45,38
Sunderland,1.26,1.32,2.58,,1.45,1.05,2.50,,1.36,1.18,2.54,39
Swansea City,1.58,1.47,3.05,,1.11,1.53,2.63,,1.34,1.50,2.84,38
Watford,1.47,0.89,2.37,,0.89,1.21,2.11,,1.18,1.05,2.24,38
West Brom,1.37,0.79,2.16,,1.17,1.33,2.50,,1.27,1.05,2.32,37
Wigan Athletic,0.74,1.68,2.42,,1.00,1.42,2.42,,0.87,1.55,2.42,38
