Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Dinamo Zagreb,2.82,0.65,3.47,,1.59,0.88,2.47,,2.21,0.76,2.97,34
Gorica,0.82,1.06,1.88,,0.94,1.53,2.47,,0.88,1.29,2.18,34
Hajduk Split,2.12,1.06,3.18,,1.47,1.35,2.82,,1.79,1.21,3.00,34
Istra,0.94,0.59,1.53,,1.06,1.41,2.47,,1.00,1.00,2.00,34
Lok. Zagreb,1.29,1.24,2.53,,1.18,1.65,2.82,,1.24,1.44,2.68,34
Osijek,1.18,0.71,1.88,,1.24,1.59,2.82,,1.21,1.15,2.35,34
Rijeka,1.18,1.24,2.41,,1.29,1.18,2.47,,1.24,1.21,2.44,34
Sibenik,0.82,1.71,2.53,,0.53,1.18,1.71,,0.68,1.44,2.12,34
Slaven Belupo,0.94,1.41,2.35,,0.59,1.18,1.76,,0.76,1.29,2.06,34
Varazdin,1.18,1.35,2.53,,1.12,1.35,2.47,,1.15,1.35,2.50,34
