Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Banik Ostrava,1.57,1.50,3.07,,1.31,1.31,2.62,,1.44,1.41,2.85,27
Bohemians,1.64,1.71,3.36,,1.92,1.31,3.23,,1.78,1.52,3.30,27
C. Budejovice,0.85,1.77,2.62,,1.07,2.00,3.07,,0.96,1.89,2.85,27
Hradec Kralove,1.00,1.36,2.36,,1.38,1.31,2.69,,1.19,1.33,2.52,27
Jablonec,1.64,1.36,3.00,,1.46,2.08,3.54,,1.56,1.70,3.26,27
Mlada Boleslav,1.54,1.23,2.77,,1.14,1.71,2.86,,1.33,1.48,2.81,27
Pardubice,0.85,1.54,2.38,,0.93,2.43,3.36,,0.89,2.00,2.89,27
Sigma Olomouc,1.77,1.23,3.00,,1.29,1.14,2.43,,1.52,1.19,2.70,27
Slavia Prague,3.85,0.46,4.31,,1.79,1.29,3.07,,2.78,0.89,3.67,27
Slovacko,1.23,0.92,2.15,,1.21,1.57,2.79,,1.22,1.26,2.48,27
Slovan Liberec,1.46,1.23,2.69,,1.00,1.57,2.57,,1.22,1.41,2.63,27
Sparta Prague,2.43,0.93,3.36,,2.31,1.00,3.31,,2.37,0.96,3.33,27
Teplice,1.43,1.57,3.00,,1.08,2.92,4.00,,1.26,2.22,3.48,27
Viktoria Plzen,2.08,0.92,3.00,,1.57,1.00,2.57,,1.81,0.96,2.78,27
Zbrojovka Brno,1.50,2.00,3.50,,1.31,1.77,3.08,,1.41,1.89,3.30,27
Zlin,1.43,1.79,3.21,,0.92,1.85,2.77,,1.19,1.81,3.00,27
