Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
ADO Den Haag,1.40,1.53,2.93,,1.00,1.40,2.40,,1.20,1.47,2.67,30
Almere City,1.71,1.21,2.93,,1.20,1.00,2.20,,1.45,1.10,2.55,29
De Graafschap,1.40,1.00,2.40,,1.73,1.73,3.47,,1.57,1.37,2.93,30
FC Den Bosch,1.80,1.73,3.53,,0.93,3.14,4.07,,1.38,2.41,3.79,29
FC Dordrecht,1.29,1.64,2.93,,0.93,1.87,2.80,,1.10,1.76,2.86,29
FC Eindhoven,2.00,1.20,3.20,,0.93,1.60,2.53,,1.47,1.40,2.87,30
Helmond Sport,1.47,1.20,2.67,,0.43,1.93,2.36,,0.97,1.55,2.52,29
Heracles Almelo,3.64,1.00,4.64,,2.13,1.27,3.40,,2.86,1.14,4.00,29
Jong Ajax,1.80,1.47,3.27,,1.60,2.40,4.00,,1.70,1.93,3.63,30
Jong AZ,2.13,1.33,3.47,,1.13,1.93,3.07,,1.63,1.63,3.27,30
Jong PSV,1.67,1.67,3.33,,1.40,1.60,3.00,,1.53,1.63,3.17,30
Jong Utrecht,0.80,1.20,2.00,,1.07,2.29,3.36,,0.93,1.72,2.66,29
MVV Maastricht,2.27,1.07,3.33,,1.36,2.57,3.93,,1.83,1.79,3.62,29
NAC Breda,1.80,1.40,3.20,,1.47,2.20,3.67,,1.63,1.80,3.43,30
PEC Zwolle,3.13,1.13,4.27,,2.27,1.00,3.27,,2.70,1.07,3.77,30
Roda JC,1.53,1.33,2.87,,1.20,1.33,2.53,,1.37,1.33,2.70,30
Telstar,1.14,1.50,2.64,,0.93,1.33,2.27,,1.03,1.41,2.45,29
TOP Oss,1.40,1.80,3.20,,0.93,1.93,2.86,,1.17,1.86,3.03,29
VVV,1.27,1.00,2.27,,1.93,1.60,3.53,,1.60,1.30,2.90,30
Willem II,1.64,1.00,2.64,,1.73,1.33,3.07,,1.69,1.17,2.86,29
