Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Arsenal,2.67,1.39,4.06,,1.84,0.95,2.79,,2.24,1.16,3.41,37
Aston Villa,1.72,1.11,2.83,,0.95,1.32,2.26,,1.32,1.22,2.54,37
Bournemouth,1.05,1.47,2.53,,0.94,2.33,3.28,,1.00,1.89,2.89,37
Brentford,1.89,1.00,2.89,,1.21,1.47,2.68,,1.54,1.24,2.78,37
Brighton,1.94,1.12,3.06,,1.89,1.67,3.56,,1.91,1.40,3.31,35
Chelsea,1.06,1.00,2.06,,1.00,1.35,2.35,,1.03,1.17,2.20,35
Crystal Palace,1.11,1.22,2.33,,1.00,1.37,2.37,,1.05,1.30,2.35,37
Everton,0.83,1.50,2.33,,0.95,1.58,2.53,,0.89,1.54,2.43,37
Fulham,1.63,1.53,3.16,,1.28,1.22,2.50,,1.46,1.38,2.84,37
Leeds Utd,1.39,1.83,3.22,,1.17,2.11,3.28,,1.28,1.97,3.25,36
Leicester City,1.17,1.44,2.61,,1.56,2.28,3.83,,1.36,1.86,3.22,36
Liverpool,2.42,0.89,3.32,,1.39,1.44,2.83,,1.92,1.16,3.08,37
Manchester City,3.28,0.94,4.22,,1.94,0.82,2.76,,2.63,0.89,3.51,35
Manchester Utd,1.76,0.47,2.24,,1.16,1.74,2.89,,1.44,1.14,2.58,36
Newcastle Utd,2.00,0.78,2.78,,1.72,1.00,2.72,,1.86,0.89,2.75,36
Nottm Forest,1.42,1.26,2.68,,0.56,2.39,2.94,,1.00,1.81,2.81,37
Southampton,0.83,1.83,2.67,,0.89,1.83,2.72,,0.86,1.83,2.69,36
Tottenham,1.95,1.32,3.26,,1.61,2.06,3.67,,1.78,1.68,3.46,37
West Ham Utd,1.28,1.28,2.56,,0.83,1.61,2.44,,1.06,1.44,2.50,36
Wolverhampton,1.00,1.05,2.05,,0.67,1.83,2.50,,0.84,1.43,2.27,37
