Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Birmingham City,1.15,1.05,2.20,,1.05,1.50,2.55,,1.10,1.28,2.38,40
Blackburn,1.32,0.84,2.16,,0.90,1.45,2.35,,1.10,1.15,2.26,39
Blackpool,1.25,1.45,2.70,,0.85,1.75,2.60,,1.05,1.60,2.65,40
Bristol City,1.25,0.95,2.20,,1.15,1.45,2.60,,1.20,1.20,2.40,40
Burnley,2.15,0.65,2.80,,1.74,0.89,2.63,,1.95,0.77,2.72,39
Cardiff City,0.90,1.00,1.90,,0.79,1.32,2.11,,0.85,1.15,2.00,39
Coventry City,1.20,1.05,2.25,,1.15,1.00,2.15,,1.18,1.03,2.20,40
Huddersfield,1.05,1.15,2.20,,0.90,1.70,2.60,,0.98,1.43,2.40,40
Hull City,1.05,1.30,2.35,,1.30,1.55,2.85,,1.18,1.43,2.60,40
Luton Town,1.30,0.95,2.25,,1.10,0.80,1.90,,1.20,0.88,2.08,40
Middlesbrough,1.85,0.80,2.65,,1.75,1.60,3.35,,1.80,1.20,3.00,40
Millwall,1.45,0.85,2.30,,0.95,1.15,2.10,,1.20,1.00,2.20,40
Norwich City,1.35,1.15,2.50,,1.35,0.95,2.30,,1.35,1.05,2.40,40
Preston,0.85,1.15,2.00,,1.10,1.05,2.15,,0.98,1.10,2.08,40
QP Rangers,1.00,1.45,2.45,,0.90,1.65,2.55,,0.95,1.55,2.50,40
Reading,1.45,1.10,2.55,,0.65,1.90,2.55,,1.05,1.50,2.55,40
Rotherham,1.74,1.26,3.00,,0.55,1.40,1.95,,1.13,1.33,2.46,39
Sheffield Utd,1.89,0.89,2.79,,1.20,0.80,2.00,,1.54,0.85,2.38,39
Stoke City,1.20,1.15,2.35,,1.45,1.20,2.65,,1.33,1.18,2.50,40
Sunderland,1.40,1.45,2.85,,1.45,1.05,2.50,,1.43,1.25,2.68,40
Swansea City,1.50,1.40,2.90,,1.20,1.55,2.75,,1.35,1.48,2.83,40
Watford,1.50,1.00,2.50,,0.85,1.25,2.10,,1.18,1.13,2.30,40
West Brom,1.30,0.75,2.05,,1.16,1.42,2.58,,1.23,1.08,2.31,39
Wigan Athletic,0.75,1.60,2.35,,0.95,1.40,2.35,,0.85,1.50,2.35,40
