Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Ajax Amsterdam,2.85,0.92,3.77,,2.69,1.23,3.92,,2.77,1.08,3.85,26
AZ Alkmaar,2.08,1.23,3.31,,1.86,1.07,2.93,,1.96,1.15,3.11,27
Cambuur,0.71,1.93,2.64,,0.85,1.85,2.69,,0.78,1.89,2.67,27
Excelsior,1.21,1.64,2.86,,0.62,2.92,3.54,,0.93,2.26,3.19,27
FC Emmen,1.07,1.21,2.29,,0.77,2.23,3.00,,0.93,1.70,2.63,27
FC Groningen,1.31,1.77,3.08,,0.62,2.23,2.85,,0.96,2.00,2.96,26
FC Twente,2.46,0.54,3.00,,0.86,1.07,1.93,,1.63,0.81,2.44,27
FC Utrecht,1.08,1.00,2.08,,2.15,2.15,4.31,,1.62,1.58,3.19,26
FC Volendam,1.54,2.00,3.54,,0.85,2.31,3.15,,1.19,2.15,3.35,26
Feyenoord,2.00,0.54,2.54,,2.54,1.38,3.92,,2.27,0.96,3.23,26
Fortuna Sittard,1.15,1.77,2.92,,1.31,1.77,3.08,,1.23,1.77,3.00,26
Go Ahead Eagles,1.58,1.67,3.25,,1.31,1.85,3.15,,1.44,1.76,3.20,25
Heerenveen,1.15,1.69,2.85,,1.21,1.07,2.29,,1.19,1.37,2.56,27
NEC Nijmegen,1.79,1.29,3.07,,0.92,0.92,1.85,,1.37,1.11,2.48,27
PSV Eindhoven,3.23,0.77,4.00,,2.07,1.64,3.71,,2.63,1.22,3.85,27
RKC Waalwijk,2.00,1.36,3.36,,1.08,1.75,2.83,,1.58,1.54,3.12,26
Sparta,1.77,1.00,2.77,,1.38,1.08,2.46,,1.58,1.04,2.62,26
Vitesse Arnhem,1.08,1.92,3.00,,1.14,1.57,2.71,,1.11,1.74,2.85,27
