Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
AC Ajaccio,0.53,1.47,2.00,,0.72,2.28,3.00,,0.63,1.89,2.51,35
Angers,1.00,1.94,2.94,,0.65,2.47,3.12,,0.83,2.20,3.03,35
Auxerre,0.94,1.35,2.29,,0.89,1.89,2.78,,0.91,1.63,2.54,35
Brest,1.24,1.35,2.59,,1.00,1.50,2.50,,1.11,1.43,2.54,35
Clermont,1.00,1.56,2.56,,1.24,1.00,2.24,,1.11,1.29,2.40,35
Lens,2.11,0.72,2.83,,1.24,0.82,2.06,,1.69,0.77,2.46,35
Lille,2.11,1.33,3.44,,1.33,1.00,2.33,,1.72,1.17,2.89,36
Lorient,1.35,1.00,2.35,,1.44,1.67,3.11,,1.40,1.34,2.74,35
Lyon,1.78,1.06,2.83,,1.61,1.39,3.00,,1.69,1.22,2.92,36
Marseille,1.89,1.22,3.11,,1.78,0.83,2.61,,1.83,1.03,2.86,36
Monaco,2.00,1.72,3.72,,1.83,1.28,3.11,,1.92,1.50,3.42,36
Montpellier,1.50,1.44,2.94,,1.83,1.78,3.61,,1.67,1.61,3.28,36
Nantes,1.06,1.44,2.50,,0.89,1.50,2.39,,0.97,1.47,2.44,36
Nice,1.24,1.00,2.24,,1.17,0.94,2.11,,1.20,0.97,2.17,35
Paris SG,2.39,1.22,3.61,,2.41,0.76,3.18,,2.40,1.00,3.40,35
Reims,1.47,1.06,2.53,,0.94,1.06,2.00,,1.20,1.06,2.26,35
Rennes,2.28,0.78,3.06,,1.12,1.41,2.53,,1.71,1.09,2.80,35
Strasbourg,1.33,1.39,2.72,,1.41,1.76,3.18,,1.37,1.57,2.94,35
Toulouse,1.44,1.44,2.89,,1.29,1.71,3.00,,1.37,1.57,2.94,35
Troyes,1.00,1.65,2.65,,1.39,2.72,4.11,,1.20,2.20,3.40,35
