Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Amiens,1.06,1.00,2.06,,0.94,1.61,2.56,,1.00,1.31,2.31,35
Annecy,0.94,1.00,1.94,,1.12,1.76,2.88,,1.03,1.37,2.40,35
Bordeaux,1.47,0.53,2.00,,1.28,0.94,2.22,,1.37,0.74,2.11,35
Caen,1.72,0.83,2.56,,0.94,1.41,2.35,,1.34,1.11,2.46,35
Dijon,1.11,0.89,2.00,,0.88,1.41,2.29,,1.00,1.14,2.14,35
Grenoble,1.06,0.78,1.83,,0.78,1.06,1.83,,0.92,0.92,1.83,36
Guingamp,1.35,1.35,2.71,,1.28,1.22,2.50,,1.31,1.29,2.60,35
Laval,1.39,1.33,2.72,,0.88,1.65,2.53,,1.14,1.49,2.63,35
Le Havre,1.29,0.41,1.71,,1.22,0.50,1.72,,1.26,0.46,1.71,35
Metz,1.39,0.72,2.11,,1.82,1.00,2.82,,1.60,0.86,2.46,35
Nimes,1.35,1.18,2.53,,0.94,2.06,3.00,,1.14,1.63,2.77,35
Niort,1.12,1.82,2.94,,0.61,1.61,2.22,,0.86,1.71,2.57,35
Paris FC,1.24,1.24,2.47,,1.11,1.11,2.22,,1.17,1.17,2.34,35
Pau FC,1.00,1.24,2.24,,0.94,1.28,2.22,,0.97,1.26,2.23,35
Quevilly Rouen,1.50,1.17,2.67,,0.82,1.06,1.88,,1.17,1.11,2.29,35
Rodez Aveyron,0.89,1.33,2.22,,1.11,0.94,2.06,,1.00,1.14,2.14,36
Saint-Etienne,1.65,1.47,3.12,,1.50,1.56,3.06,,1.57,1.51,3.09,35
SC Bastia,1.39,0.78,2.17,,1.06,1.47,2.53,,1.23,1.11,2.34,35
Sochaux,1.72,0.94,2.67,,1.24,1.06,2.29,,1.49,1.00,2.49,35
Valenciennes,1.44,1.28,2.72,,0.76,1.41,2.18,,1.11,1.34,2.46,35
