Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Bayern Munich,3.12,1.00,4.12,,2.31,1.25,3.56,,2.73,1.12,3.85,33
Bochum,1.56,2.00,3.56,,0.71,2.35,3.06,,1.12,2.18,3.30,33
Dortmund,3.31,0.94,4.25,,1.56,1.69,3.25,,2.44,1.31,3.75,32
E. Frankfurt,2.06,1.06,3.13,,1.35,2.00,3.35,,1.70,1.55,3.24,33
FC Augsburg,1.00,1.31,2.31,,1.63,2.31,3.94,,1.31,1.81,3.13,32
FC Koln,1.69,1.13,2.81,,1.24,2.00,3.24,,1.45,1.58,3.03,33
Freiburg,1.65,0.76,2.41,,1.38,1.81,3.19,,1.52,1.27,2.79,33
FSV Mainz,1.88,1.31,3.19,,1.31,1.75,3.06,,1.59,1.53,3.13,32
Hertha Berlin,1.41,1.59,3.00,,1.00,2.56,3.56,,1.21,2.06,3.27,33
Hoffenheim,1.65,1.71,3.35,,1.19,1.69,2.88,,1.42,1.70,3.12,33
Leverkusen,2.06,1.31,3.38,,1.38,1.44,2.81,,1.72,1.38,3.09,32
Monchengladbach,1.94,1.13,3.06,,1.06,2.19,3.25,,1.50,1.66,3.16,32
RB Leipzig,2.13,1.00,3.13,,1.53,1.35,2.88,,1.82,1.18,3.00,33
Schalke 04,1.35,2.12,3.47,,0.63,1.94,2.56,,1.00,2.03,3.03,33
Stuttgart,1.38,1.31,2.69,,1.13,2.13,3.25,,1.25,1.72,2.97,32
Union Berlin,1.81,0.69,2.50,,1.24,1.59,2.82,,1.52,1.15,2.67,33
Werder Bremen,1.53,1.65,3.18,,1.56,2.19,3.75,,1.55,1.91,3.45,33
Wolfsburg,2.06,1.44,3.50,,1.35,1.35,2.71,,1.70,1.39,3.09,33
