Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Bielefeld,1.65,1.71,3.35,,1.38,1.81,3.19,,1.52,1.76,3.27,33
Braunschweig,1.35,1.29,2.65,,1.13,2.19,3.31,,1.24,1.73,2.97,33
Darmstadt,1.59,0.76,2.35,,1.44,1.00,2.44,,1.52,0.88,2.39,33
Dusseldorf,2.19,1.00,3.19,,1.19,1.50,2.69,,1.69,1.25,2.94,32
FC Nurnberg,1.13,1.06,2.19,,0.81,2.00,2.81,,0.97,1.53,2.50,32
Greuther Furth,1.50,1.19,2.69,,1.12,1.82,2.94,,1.30,1.52,2.82,33
Hamburger SV,2.24,1.18,3.41,,1.94,1.56,3.50,,2.09,1.36,3.45,33
Hannover 96,1.63,1.31,2.94,,1.25,1.63,2.88,,1.44,1.47,2.91,32
Hansa Rostock,1.00,1.50,2.50,,0.88,1.44,2.31,,0.94,1.47,2.41,32
Heidenheim,2.41,0.94,3.35,,1.44,1.13,2.56,,1.94,1.03,2.97,33
Holstein Kiel,1.71,1.71,3.41,,1.50,1.94,3.44,,1.61,1.82,3.42,33
Kaiserslautern,1.63,1.44,3.06,,1.31,1.25,2.56,,1.47,1.34,2.81,32
Karlsruher SC,1.88,1.56,3.44,,1.44,1.69,3.13,,1.66,1.63,3.28,32
Magdeburg,1.19,1.38,2.56,,1.47,1.94,3.41,,1.33,1.67,3.00,33
Paderborn,2.88,1.19,4.06,,1.29,1.41,2.71,,2.06,1.30,3.36,33
Regensburg,0.94,1.56,2.50,,1.00,1.76,2.76,,0.97,1.67,2.64,33
Sandhausen,1.13,2.00,3.13,,1.00,1.76,2.76,,1.06,1.88,2.94,33
Sankt Pauli,1.44,0.63,2.06,,1.82,1.65,3.47,,1.64,1.15,2.79,33
