Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Arman Gohar,1.27,1.20,2.47,,0.60,1.33,1.93,,0.93,1.27,2.20,30
Chadormalu SC,1.20,1.13,2.33,,0.88,0.81,1.69,,1.03,0.97,2.00,31
Chooka Talesh,1.00,0.93,1.93,,0.73,2.20,2.93,,0.87,1.57,2.43,30
Darya Babol,1.00,0.47,1.47,,0.33,1.07,1.40,,0.67,0.77,1.43,30
E. Khuzestan,1.33,0.20,1.53,,1.33,1.20,2.53,,1.33,0.70,2.03,30
E. Mollasani,1.07,0.80,1.87,,0.67,1.67,2.33,,0.87,1.23,2.10,30
Fajr Sepasi,1.53,0.60,2.13,,0.93,0.93,1.87,,1.23,0.77,2.00,30
K. Khorramabad,1.13,0.33,1.47,,0.87,0.73,1.60,,1.00,0.53,1.53,30
Khalij Fars,0.60,1.13,1.73,,0.47,1.47,1.93,,0.53,1.30,1.83,30
Khooshe Talaee,0.87,0.67,1.53,,0.80,1.27,2.07,,0.83,0.97,1.80,30
Mes Shahr Babak,1.00,0.33,1.33,,0.47,0.80,1.27,,0.73,0.57,1.30,30
Omid Vahdat,-,-,-,,-,-,-,,-,-,-,-
Pars Jam,0.87,0.67,1.53,,0.60,1.20,1.80,,0.73,0.93,1.67,30
S. Astara,0.73,0.40,1.13,,0.20,1.13,1.33,,0.47,0.77,1.23,30
S. Hamedan,0.73,0.73,1.47,,0.33,1.20,1.53,,0.53,0.97,1.50,30
Saipa,1.33,0.60,1.93,,0.33,0.87,1.20,,0.83,0.73,1.57,30
Shams A. Qazvin,2.75,0.63,3.38,,1.33,0.87,2.20,,2.06,0.74,2.81,31
VP Isfahan,1.40,0.60,2.00,,0.53,1.20,1.73,,0.97,0.90,1.87,30
