Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Bohemians,2.00,1.29,3.29,,1.13,0.63,1.75,,1.53,0.93,2.47,15
Cork City,1.43,1.57,3.00,,1.00,2.75,3.75,,1.20,2.20,3.40,15
Derry City,1.00,0.63,1.63,,1.88,0.63,2.50,,1.44,0.63,2.06,16
Drogheda Utd,0.57,1.29,1.86,,0.88,1.38,2.25,,0.73,1.33,2.07,15
Dundalk,2.00,1.63,3.63,,0.75,0.88,1.63,,1.38,1.25,2.63,16
Shamrock Rovers,2.38,1.63,4.00,,1.88,0.25,2.13,,2.13,0.94,3.06,16
Shelbourne,0.88,0.50,1.38,,1.29,0.86,2.14,,1.07,0.67,1.73,15
Sligo Rovers,1.13,1.38,2.50,,1.29,1.29,2.57,,1.20,1.33,2.53,15
St. Patricks,1.50,0.75,2.25,,1.75,2.38,4.13,,1.63,1.56,3.19,16
UC Dublin,0.50,1.75,2.25,,0.43,2.43,2.86,,0.47,2.07,2.53,15
