Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Athlone Town,1.86,1.43,3.29,,1.71,1.71,3.43,,1.79,1.57,3.36,14
Bray Wanderers,1.43,1.14,2.57,,1.00,1.86,2.86,,1.21,1.50,2.71,14
Cobh Ramblers,2.00,1.43,3.43,,1.00,1.43,2.43,,1.50,1.43,2.93,14
Finn Harps,1.14,1.43,2.57,,0.86,2.43,3.29,,1.00,1.93,2.93,14
Galway Utd,3.14,0.29,3.43,,2.29,0.57,2.86,,2.71,0.43,3.14,14
Kerry,0.83,2.00,2.83,,0.88,3.38,4.25,,0.86,2.79,3.64,14
Longford Town,0.75,1.25,2.00,,1.17,1.33,2.50,,0.93,1.29,2.21,14
Treaty Utd,1.67,1.83,3.50,,1.38,1.00,2.38,,1.50,1.36,2.86,14
Waterford,2.50,1.13,3.63,,2.33,0.83,3.17,,2.43,1.00,3.43,14
Wexford,1.00,1.57,2.57,,0.86,1.57,2.43,,0.93,1.57,2.50,14
