Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
AC Milan,2.11,1.06,3.17,,1.22,1.28,2.50,,1.67,1.17,2.83,36
AS Roma,1.41,0.71,2.12,,1.17,1.17,2.33,,1.29,0.94,2.23,35
Atalanta,1.83,1.33,3.17,,1.44,1.06,2.50,,1.64,1.19,2.83,36
Bologna,1.22,0.67,1.89,,1.44,1.83,3.28,,1.33,1.25,2.58,36
Cremonese,0.72,1.72,2.44,,1.06,1.94,3.00,,0.89,1.83,2.72,36
Empoli,1.06,1.18,2.24,,0.78,1.39,2.17,,0.91,1.29,2.20,35
Fiorentina,1.56,1.17,2.72,,1.12,1.12,2.24,,1.34,1.14,2.49,35
Hellas Verona,1.06,1.72,2.78,,0.56,1.33,1.89,,0.81,1.53,2.33,36
Inter Milan,1.89,0.67,2.56,,1.88,1.47,3.35,,1.89,1.06,2.94,35
Juventus,2.11,0.78,2.89,,0.94,0.82,1.76,,1.54,0.80,2.34,35
Lazio,1.61,0.89,2.50,,1.47,0.71,2.18,,1.54,0.80,2.34,35
Lecce,0.94,1.24,2.18,,0.78,1.22,2.00,,0.86,1.23,2.09,35
Monza,1.39,1.17,2.56,,1.17,1.39,2.56,,1.28,1.28,2.56,36
Napoli,2.06,0.82,2.88,,1.94,0.61,2.56,,2.00,0.71,2.71,35
Salernitana,1.50,1.33,2.83,,0.94,1.88,2.82,,1.23,1.60,2.83,35
Sampdoria,0.56,1.44,2.00,,0.67,2.28,2.94,,0.61,1.86,2.47,36
Sassuolo,1.28,1.11,2.39,,1.17,2.00,3.17,,1.22,1.56,2.78,36
Spezia,1.00,1.44,2.44,,0.71,1.76,2.47,,0.86,1.60,2.46,35
Torino,0.82,1.00,1.82,,1.28,1.22,2.50,,1.06,1.11,2.17,35
Udinese,1.76,1.06,2.82,,0.83,1.39,2.22,,1.29,1.23,2.51,35
