Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Albirex Niigata,1.29,1.43,2.71,,1.00,1.33,2.33,,1.15,1.38,2.54,13
Avispa Fukuoka,1.29,0.86,2.14,,1.00,1.67,2.67,,1.15,1.23,2.38,13
C. Sapporo,2.14,1.71,3.86,,2.29,1.86,4.14,,2.21,1.79,4.00,14
Cerezo Osaka,1.29,1.29,2.57,,1.17,1.00,2.17,,1.23,1.15,2.38,13
FC Tokyo,2.00,1.17,3.17,,0.57,1.57,2.14,,1.23,1.38,2.62,13
Gamba Osaka,1.33,1.33,2.67,,0.71,2.86,3.57,,1.00,2.15,3.15,13
K. Frontale,0.83,1.00,1.83,,1.57,1.43,3.00,,1.23,1.23,2.46,13
Kashima Antlers,1.50,1.50,3.00,,1.43,0.57,2.00,,1.46,1.00,2.46,13
Kashiwa Reysol,0.71,1.57,2.29,,0.50,0.83,1.33,,0.62,1.23,1.85,13
Kyoto Sanga,0.86,1.57,2.43,,1.43,1.57,3.00,,1.14,1.57,2.71,14
Nagoya G.,1.00,0.67,1.67,,1.43,0.86,2.29,,1.23,0.77,2.00,13
S. Hiroshima,1.17,0.83,2.00,,1.50,0.83,2.33,,1.33,0.83,2.17,12
Sagan Tosu,0.83,1.67,2.50,,1.00,1.00,2.00,,0.92,1.31,2.23,13
Shonan Bellmare,1.67,2.00,3.67,,1.83,1.67,3.50,,1.75,1.83,3.58,12
Urawa RD,2.20,1.20,3.40,,0.83,0.83,1.67,,1.45,1.00,2.45,11
Vissel Kobe,1.75,0.50,2.25,,2.80,0.80,3.60,,2.15,0.62,2.77,13
Yokohama FC,0.71,2.29,3.00,,0.83,2.33,3.17,,0.77,2.31,3.08,13
Yokohama M.,2.50,0.67,3.17,,1.57,1.57,3.14,,2.00,1.15,3.15,13
