Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Almeria,1.50,1.29,2.79,,0.75,2.25,3.00,,1.15,1.73,2.88,26
Athletic Bilbao,1.29,0.79,2.07,,1.38,1.31,2.69,,1.33,1.04,2.37,27
Atletico Madrid,1.92,0.85,2.77,,1.31,0.62,1.92,,1.62,0.73,2.35,26
Cadiz,1.00,1.36,2.36,,0.54,1.62,2.15,,0.78,1.48,2.26,27
Celta Vigo,1.46,1.08,2.54,,1.00,1.62,2.62,,1.23,1.35,2.58,26
Elche,0.79,1.79,2.57,,0.62,2.31,2.92,,0.70,2.04,2.74,27
Espanyol,1.31,1.77,3.08,,1.14,1.50,2.64,,1.22,1.63,2.85,27
FC Barcelona,2.08,0.15,2.23,,1.86,0.50,2.36,,1.96,0.33,2.30,27
Getafe,1.14,1.14,2.29,,0.85,1.38,2.23,,1.00,1.26,2.26,27
Girona,1.79,1.36,3.14,,1.31,1.77,3.08,,1.56,1.56,3.11,27
Mallorca,0.93,0.71,1.64,,0.69,1.31,2.00,,0.81,1.00,1.81,27
Osasuna,0.92,1.08,2.00,,0.71,0.93,1.64,,0.81,1.00,1.81,27
Rayo Vallecano,1.38,1.08,2.46,,1.00,1.23,2.23,,1.19,1.15,2.35,26
Real Betis,1.46,0.92,2.38,,1.15,1.08,2.23,,1.31,1.00,2.31,26
Real Madrid,2.17,0.75,2.92,,1.79,0.86,2.64,,1.96,0.81,2.77,26
Real Sociedad,1.15,0.92,2.08,,1.54,0.92,2.46,,1.35,0.92,2.27,26
Sevilla FC,1.23,1.23,2.46,,1.07,1.86,2.93,,1.15,1.56,2.70,27
Valencia,1.54,0.92,2.46,,0.62,1.46,2.08,,1.08,1.19,2.27,26
Valladolid,0.92,1.00,1.92,,0.62,1.92,2.54,,0.77,1.46,2.23,26
Villarreal,1.42,0.83,2.25,,1.07,1.00,2.07,,1.23,0.92,2.15,26
