Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
AC Ajaccio,0.64,1.57,2.21,,0.79,2.00,2.79,,0.71,1.79,2.50,28
Angers,1.00,2.14,3.14,,0.50,2.36,2.86,,0.75,2.25,3.00,28
Auxerre,0.86,1.43,2.29,,0.80,2.07,2.87,,0.83,1.76,2.59,29
Brest,1.08,1.69,2.77,,1.07,1.60,2.67,,1.07,1.64,2.71,28
Clermont,0.79,1.79,2.57,,1.14,1.07,2.21,,0.96,1.43,2.39,28
Lens,2.07,0.71,2.79,,1.27,0.73,2.00,,1.66,0.72,2.38,29
Lille,2.00,1.50,3.50,,1.64,1.07,2.71,,1.82,1.29,3.11,28
Lorient,1.50,1.07,2.57,,1.43,1.57,3.00,,1.46,1.32,2.79,28
Lyon,1.43,0.79,2.21,,1.64,1.50,3.14,,1.54,1.14,2.68,28
Marseille,1.73,1.27,3.00,,2.00,0.71,2.71,,1.86,1.00,2.86,29
Monaco,2.07,1.64,3.71,,2.00,1.00,3.00,,2.04,1.32,3.36,28
Montpellier,1.60,1.53,3.13,,1.50,1.79,3.29,,1.55,1.66,3.21,29
Nantes,1.15,1.08,2.23,,1.00,1.53,2.53,,1.07,1.32,2.39,28
Nice,1.29,0.86,2.14,,1.36,0.93,2.29,,1.32,0.89,2.21,28
Paris SG,2.43,1.21,3.64,,2.43,0.79,3.21,,2.43,1.00,3.43,28
Reims,1.64,1.07,2.71,,0.93,0.93,1.86,,1.29,1.00,2.29,28
Rennes,2.00,0.80,2.80,,1.21,1.29,2.50,,1.62,1.03,2.66,29
Strasbourg,1.20,1.47,2.67,,1.23,1.85,3.08,,1.21,1.64,2.86,28
Toulouse,1.67,1.53,3.20,,1.38,1.92,3.31,,1.54,1.71,3.25,28
Troyes,1.14,1.57,2.71,,1.47,2.67,4.13,,1.31,2.14,3.45,29
