Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Ajax Amsterdam,2.75,0.81,3.56,,2.38,1.31,3.69,,2.56,1.06,3.63,32
AZ Alkmaar,2.19,1.13,3.31,,1.81,0.94,2.75,,2.00,1.03,3.03,32
Cambuur,0.63,2.06,2.69,,0.69,2.00,2.69,,0.66,2.03,2.69,32
Excelsior,1.19,1.63,2.81,,0.50,2.63,3.13,,0.84,2.13,2.97,32
FC Emmen,0.94,1.25,2.19,,0.94,2.44,3.38,,0.94,1.84,2.78,32
FC Groningen,1.25,1.81,3.06,,0.69,2.19,2.88,,0.97,2.00,2.97,32
FC Twente,2.69,0.63,3.31,,0.94,1.00,1.94,,1.81,0.81,2.63,32
FC Utrecht,1.06,0.81,1.88,,2.13,2.00,4.13,,1.59,1.41,3.00,32
FC Volendam,1.63,1.88,3.50,,0.81,2.25,3.06,,1.22,2.06,3.28,32
Feyenoord,2.31,0.56,2.88,,2.56,1.19,3.75,,2.44,0.88,3.31,32
Fortuna Sittard,1.25,1.69,2.94,,1.13,1.94,3.06,,1.19,1.81,3.00,32
Go Ahead Eagles,1.56,1.44,3.00,,1.13,1.94,3.06,,1.34,1.69,3.03,32
Heerenveen,1.19,1.63,2.81,,1.25,1.31,2.56,,1.22,1.47,2.69,32
NEC Nijmegen,1.75,1.56,3.31,,0.81,1.00,1.81,,1.28,1.28,2.56,32
PSV Eindhoven,3.19,0.69,3.88,,2.06,1.56,3.63,,2.63,1.13,3.75,32
RKC Waalwijk,2.13,1.31,3.44,,1.00,2.13,3.13,,1.56,1.72,3.28,32
Sparta,1.75,1.06,2.81,,1.44,1.19,2.63,,1.59,1.13,2.72,32
Vitesse Arnhem,1.13,1.56,2.69,,1.25,1.56,2.81,,1.19,1.56,2.75,32
