Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
ADO Den Haag,1.58,1.63,3.21,,1.06,1.44,2.50,,1.32,1.54,2.86,37
Almere City,1.56,1.17,2.72,,1.53,1.05,2.58,,1.54,1.11,2.65,37
De Graafschap,1.56,1.11,2.67,,1.74,1.79,3.53,,1.65,1.46,3.11,37
FC Den Bosch,1.58,1.74,3.32,,0.89,2.72,3.61,,1.24,2.22,3.46,37
FC Dordrecht,1.17,1.44,2.61,,0.95,2.11,3.05,,1.05,1.78,2.84,37
FC Eindhoven,1.95,1.21,3.16,,1.11,1.67,2.78,,1.54,1.43,2.97,37
Helmond Sport,1.33,1.22,2.56,,0.68,1.68,2.37,,1.00,1.46,2.46,37
Heracles Almelo,3.28,0.94,4.22,,2.21,1.32,3.53,,2.73,1.14,3.86,37
Jong Ajax,2.16,1.63,3.79,,1.56,2.17,3.72,,1.86,1.89,3.76,37
Jong AZ,2.06,1.22,3.28,,1.21,1.79,3.00,,1.62,1.51,3.14,37
Jong PSV,1.83,1.56,3.39,,1.32,1.79,3.11,,1.57,1.68,3.24,37
Jong Utrecht,0.94,1.11,2.06,,0.79,2.32,3.11,,0.86,1.73,2.59,37
MVV Maastricht,2.21,1.21,3.42,,1.28,2.28,3.56,,1.76,1.73,3.49,37
NAC Breda,1.79,1.42,3.21,,1.61,1.94,3.56,,1.70,1.68,3.38,37
PEC Zwolle,3.05,0.95,4.00,,2.11,1.28,3.39,,2.59,1.11,3.70,37
Roda JC,1.39,1.33,2.72,,1.16,1.74,2.89,,1.27,1.54,2.81,37
Telstar,1.11,1.33,2.44,,0.89,1.42,2.32,,1.00,1.38,2.38,37
TOP Oss,1.42,1.95,3.37,,0.89,2.06,2.94,,1.16,2.00,3.16,37
VVV,1.26,1.16,2.42,,1.72,1.56,3.28,,1.49,1.35,2.84,37
Willem II,1.95,0.89,2.84,,1.61,1.17,2.78,,1.78,1.03,2.81,37
