Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Cracovia Krakow,1.25,0.63,1.88,,1.06,1.50,2.56,,1.16,1.06,2.22,32
Gornik Zabrze,1.31,1.38,2.69,,1.38,1.25,2.63,,1.34,1.31,2.66,32
Jagiellonia,1.81,1.31,3.13,,1.13,1.56,2.69,,1.47,1.44,2.91,32
Korona Kielce,1.12,1.12,2.24,,1.06,1.81,2.88,,1.09,1.45,2.55,33
Lech Poznan,1.44,0.94,2.38,,1.53,0.82,2.35,,1.48,0.88,2.36,33
Lechia Gdansk,0.88,1.38,2.25,,0.81,1.94,2.75,,0.84,1.66,2.50,32
Legia Warsaw,2.19,1.00,3.19,,1.19,1.19,2.38,,1.69,1.09,2.78,32
Miedz Legnica,1.00,1.44,2.44,,0.94,1.75,2.69,,0.97,1.59,2.56,32
Piast Gliwice,1.06,0.94,2.00,,1.19,0.94,2.13,,1.13,0.94,2.06,32
Pogon Szczecin,1.81,1.44,3.25,,1.44,1.31,2.75,,1.63,1.38,3.00,32
Radomiak Radom,0.88,1.19,2.06,,1.06,1.06,2.13,,0.97,1.13,2.09,32
Rakow C.,2.50,0.56,3.06,,1.25,0.81,2.06,,1.88,0.69,2.56,32
Slask Wroclaw,1.19,1.31,2.50,,0.69,1.38,2.06,,0.94,1.34,2.28,32
Stal Mielec,1.06,0.88,1.94,,1.06,1.53,2.59,,1.06,1.21,2.27,33
Warta Poznan,1.25,1.06,2.31,,1.00,1.00,2.00,,1.13,1.03,2.16,32
Widzew Lodz,1.38,1.56,2.94,,0.94,1.00,1.94,,1.16,1.28,2.44,32
Wisla Plock,1.38,0.88,2.25,,1.13,1.94,3.06,,1.25,1.41,2.66,32
Zaglebie Lubin,0.76,1.18,1.94,,1.31,1.44,2.75,,1.03,1.30,2.33,33
