Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Arouca,1.31,1.06,2.38,,0.75,1.25,2.00,,1.03,1.16,2.19,32
Benfica,2.81,0.75,3.56,,2.00,0.38,2.38,,2.41,0.56,2.97,32
Boavista,1.38,1.25,2.63,,1.00,2.00,3.00,,1.19,1.63,2.81,32
Casa Pia,1.00,0.94,1.94,,0.81,1.38,2.19,,0.91,1.16,2.06,32
Chaves,1.19,1.06,2.25,,0.94,1.13,2.06,,1.06,1.09,2.16,32
Estoril,1.06,1.44,2.50,,0.69,1.44,2.13,,0.88,1.44,2.31,32
Famalicao,1.19,0.94,2.13,,1.00,1.63,2.63,,1.09,1.28,2.38,32
FC Porto,2.56,0.69,3.25,,1.56,0.56,2.13,,2.06,0.63,2.69,32
Gil Vicente,0.88,0.88,1.75,,1.06,1.63,2.69,,0.97,1.25,2.22,32
Guimaraes,1.06,0.75,1.81,,1.00,1.50,2.50,,1.03,1.13,2.16,32
Maritimo,1.24,1.35,2.59,,0.63,2.31,2.94,,0.94,1.82,2.76,33
Pacos Ferreira,0.63,2.00,2.63,,0.81,1.63,2.44,,0.72,1.81,2.53,32
Portimonense,0.88,1.19,2.06,,0.69,1.63,2.31,,0.78,1.41,2.19,32
Rio Ave,1.00,0.75,1.75,,1.06,1.63,2.69,,1.03,1.19,2.22,32
Santa Clara,1.06,1.81,2.88,,0.50,1.63,2.13,,0.78,1.72,2.50,32
Sporting Braga,2.31,0.69,3.00,,2.13,1.13,3.25,,2.22,0.91,3.13,32
Sporting CP,2.50,0.63,3.13,,1.69,1.19,2.88,,2.09,0.91,3.00,32
Vizela,1.06,1.06,2.13,,0.94,1.12,2.06,,1.00,1.09,2.09,33
