Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Arsenal,2.80,1.20,4.00,,2.00,0.64,2.64,,2.41,0.93,3.34,29
Aston Villa,1.64,1.36,3.00,,1.07,1.40,2.47,,1.34,1.38,2.72,29
Bournemouth,1.00,1.27,2.27,,0.86,2.71,3.57,,0.93,1.97,2.90,29
Brentford,2.00,1.00,3.00,,1.29,1.64,2.93,,1.64,1.32,2.96,28
Brighton,1.79,1.00,2.79,,2.00,1.54,3.54,,1.89,1.26,3.15,27
Chelsea,1.07,0.80,1.87,,0.93,1.29,2.21,,1.00,1.03,2.03,29
Crystal Palace,0.93,1.27,2.20,,0.71,1.43,2.14,,0.83,1.34,2.17,29
Everton,0.87,1.13,2.00,,0.71,1.71,2.43,,0.79,1.41,2.21,29
Fulham,1.50,1.43,2.93,,1.29,1.36,2.64,,1.39,1.39,2.79,28
Leeds Utd,1.43,1.36,2.79,,1.20,2.00,3.20,,1.31,1.69,3.00,29
Leicester City,1.21,1.36,2.57,,1.53,2.13,3.67,,1.38,1.76,3.14,29
Liverpool,2.62,0.69,3.31,,0.93,1.60,2.53,,1.71,1.18,2.89,28
Manchester City,3.36,1.00,4.36,,1.71,0.86,2.57,,2.54,0.93,3.46,28
Manchester Utd,1.85,0.62,2.46,,1.21,2.07,3.29,,1.52,1.37,2.89,27
Newcastle Utd,1.64,0.64,2.29,,1.38,0.77,2.15,,1.52,0.70,2.22,27
Nottm Forest,1.27,1.20,2.47,,0.36,2.43,2.79,,0.83,1.79,2.62,29
Southampton,1.00,1.71,2.71,,0.60,1.53,2.13,,0.79,1.62,2.41,29
Tottenham,2.07,1.14,3.21,,1.60,1.67,3.27,,1.83,1.41,3.24,29
West Ham Utd,1.29,1.00,2.29,,0.54,1.54,2.08,,0.93,1.26,2.19,27
Wolverhampton,0.86,1.36,2.21,,0.73,1.53,2.27,,0.79,1.45,2.24,29
