Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Akhmat Grozny,1.23,1.15,2.38,,1.92,1.46,3.38,,1.58,1.31,2.88,26
CSKA Moscow,2.43,0.71,3.14,,1.31,1.08,2.38,,1.89,0.89,2.78,27
Dinamo Moscow,1.77,1.00,2.77,,1.62,1.69,3.31,,1.69,1.35,3.04,26
Fakel Voronezh,1.46,1.62,3.08,,1.08,1.85,2.92,,1.27,1.73,3.00,26
FC Krasnodar,2.00,1.38,3.38,,2.21,1.86,4.07,,2.11,1.63,3.74,27
Khimki,0.93,1.57,2.50,,0.92,2.85,3.77,,0.93,2.19,3.11,27
Krylya Sovetov,0.75,1.33,2.08,,1.21,1.86,3.07,,1.00,1.62,2.62,26
Lokomotiv M.,2.00,1.69,3.69,,1.46,1.54,3.00,,1.73,1.62,3.35,26
Nizhny Novgorod,1.23,2.15,3.38,,0.85,1.62,2.46,,1.04,1.88,2.92,26
Orenburg,2.46,1.31,3.77,,1.29,2.50,3.79,,1.85,1.93,3.78,27
PFC Sochi,1.85,1.31,3.15,,0.85,2.38,3.23,,1.35,1.85,3.19,26
Rostov,1.57,1.29,2.86,,1.83,1.33,3.17,,1.69,1.31,3.00,26
Spartak Moscow,2.54,1.23,3.77,,1.79,1.43,3.21,,2.15,1.33,3.48,27
Torpedo Moscow,0.62,1.85,2.46,,0.86,2.00,2.86,,0.74,1.93,2.67,27
Ural,1.14,1.64,2.79,,1.00,1.46,2.46,,1.07,1.56,2.63,27
Zenit,3.36,0.79,4.14,,1.77,0.46,2.23,,2.59,0.63,3.22,27
