Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Aberdeen,2.25,0.88,3.13,,0.88,2.38,3.25,,1.56,1.63,3.19,32
Celtic,3.13,0.69,3.81,,3.25,0.81,4.06,,3.19,0.75,3.94,32
Dundee Utd,1.25,1.81,3.06,,0.88,1.81,2.69,,1.06,1.81,2.88,32
Hearts,2.27,1.47,3.73,,0.94,1.53,2.47,,1.56,1.50,3.06,32
Hibernian,1.81,1.31,3.13,,1.19,1.88,3.06,,1.50,1.59,3.09,32
Kilmarnock,1.31,1.50,2.81,,0.38,2.13,2.50,,0.84,1.81,2.66,32
Livingston,1.12,1.18,2.29,,0.93,2.00,2.93,,1.03,1.56,2.59,32
Motherwell,1.25,1.63,2.88,,1.44,1.31,2.75,,1.34,1.47,2.81,32
Rangers,2.75,0.69,3.44,,2.31,1.31,3.63,,2.53,1.00,3.53,32
Ross County,1.00,1.59,2.59,,0.67,1.27,1.93,,0.84,1.44,2.28,32
St. Johnstone,0.93,1.47,2.40,,1.12,1.82,2.94,,1.03,1.66,2.69,32
St. Mirren,1.31,0.88,2.19,,1.06,2.06,3.13,,1.19,1.47,2.66,32
