Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Aberdeen,2.27,0.93,3.20,,0.86,2.71,3.57,,1.59,1.79,3.38,29
Celtic,3.13,0.60,3.73,,3.29,0.86,4.14,,3.21,0.72,3.93,29
Dundee Utd,1.20,1.87,3.07,,0.86,1.86,2.71,,1.03,1.86,2.90,29
Hearts,2.43,1.43,3.86,,1.00,1.53,2.53,,1.69,1.48,3.17,29
Hibernian,1.93,1.29,3.21,,1.20,1.87,3.07,,1.55,1.59,3.14,29
Kilmarnock,1.29,1.36,2.64,,0.40,2.13,2.53,,0.83,1.76,2.59,29
Livingston,1.06,1.25,2.31,,1.08,1.85,2.92,,1.07,1.52,2.59,29
Motherwell,1.14,1.71,2.86,,1.33,1.33,2.67,,1.24,1.52,2.76,29
Rangers,2.64,0.64,3.29,,2.33,1.20,3.53,,2.48,0.93,3.41,29
Ross County,1.13,1.60,2.73,,0.57,1.36,1.93,,0.86,1.48,2.34,29
St. Johnstone,1.08,1.46,2.54,,1.19,1.81,3.00,,1.14,1.66,2.79,29
St. Mirren,1.20,0.93,2.13,,0.93,2.00,2.93,,1.07,1.45,2.52,29
