Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
AFC Wimbledon,1.11,1.11,2.22,,0.95,1.25,2.20,,1.03,1.18,2.21,38
Barrow,1.21,0.84,2.05,,0.89,1.42,2.32,,1.05,1.13,2.18,38
Bradford,1.26,0.89,2.16,,1.17,0.83,2.00,,1.22,0.86,2.08,37
Carlisle Utd,1.47,0.84,2.32,,1.58,1.05,2.63,,1.53,0.95,2.47,38
Colchester Utd,0.89,1.05,1.95,,0.89,1.37,2.26,,0.89,1.21,2.11,38
Crawley Town,1.56,1.56,3.11,,0.68,1.63,2.32,,1.11,1.59,2.70,37
Crewe Alexandra,1.16,1.21,2.37,,0.67,1.33,2.00,,0.92,1.27,2.19,37
Doncaster,1.26,1.21,2.47,,0.84,1.53,2.37,,1.05,1.37,2.42,38
Gillingham,0.84,0.89,1.74,,0.53,1.21,1.74,,0.68,1.05,1.74,38
Grimsby,1.00,1.11,2.11,,1.11,1.22,2.33,,1.06,1.17,2.22,36
Harrogate,1.21,1.42,2.63,,1.06,1.50,2.56,,1.14,1.46,2.59,37
Hartlepool,1.11,1.63,2.74,,1.05,1.89,2.95,,1.08,1.76,2.84,38
Leyton Orient,1.42,0.42,1.84,,1.22,0.94,2.17,,1.32,0.68,2.00,37
Mansfield,1.61,1.39,3.00,,1.37,1.05,2.42,,1.49,1.22,2.70,37
Newport,0.94,1.28,2.22,,1.11,1.05,2.16,,1.03,1.16,2.19,37
Northampton,1.26,0.79,2.05,,1.47,0.95,2.42,,1.37,0.87,2.24,38
Rochdale,1.00,1.58,2.58,,0.74,1.53,2.26,,0.87,1.55,2.42,38
Salford City,1.37,1.00,2.37,,1.79,1.26,3.05,,1.58,1.13,2.71,38
Stevenage,1.79,0.74,2.53,,0.94,1.11,2.06,,1.38,0.92,2.30,37
Stockport,1.32,0.74,2.05,,1.37,0.95,2.32,,1.34,0.84,2.18,38
Sutton Utd,1.26,0.79,2.05,,0.84,1.32,2.16,,1.05,1.05,2.11,38
Swindon Town,1.44,1.00,2.44,,1.21,1.32,2.53,,1.32,1.16,2.49,37
Tranmere,1.21,0.95,2.16,,0.74,1.11,1.84,,0.97,1.03,2.00,38
Walsall,1.21,0.74,1.95,,0.89,1.06,1.94,,1.05,0.89,1.95,37
