Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Arsenal,2.71,1.21,3.93,,2.00,0.64,2.64,,2.36,0.93,3.29,28
Aston Villa,1.64,1.36,3.00,,0.92,1.54,2.46,,1.30,1.44,2.74,27
Bournemouth,1.00,1.23,2.23,,0.86,2.71,3.57,,0.93,2.00,2.93,27
Brentford,2.00,1.00,3.00,,1.15,1.54,2.69,,1.59,1.26,2.85,27
Brighton,1.69,0.85,2.54,,2.00,1.67,3.67,,1.84,1.24,3.08,25
Chelsea,1.23,0.77,2.00,,0.93,1.29,2.21,,1.07,1.04,2.11,27
Crystal Palace,0.86,1.29,2.14,,0.71,1.43,2.14,,0.79,1.36,2.14,28
Everton,0.86,1.14,2.00,,0.71,1.71,2.43,,0.79,1.43,2.21,28
Fulham,1.50,1.43,2.93,,1.31,1.31,2.62,,1.41,1.37,2.78,27
Leeds Utd,1.38,1.38,2.77,,1.21,1.86,3.07,,1.30,1.63,2.93,27
Leicester City,1.23,1.31,2.54,,1.57,2.14,3.71,,1.41,1.74,3.15,27
Liverpool,2.62,0.69,3.31,,1.00,1.54,2.54,,1.81,1.12,2.92,26
Manchester City,3.31,1.00,4.31,,1.71,0.86,2.57,,2.48,0.93,3.41,27
Manchester Utd,1.85,0.62,2.46,,1.31,2.08,3.38,,1.58,1.35,2.92,26
Newcastle Utd,1.62,0.69,2.31,,1.38,0.77,2.15,,1.50,0.73,2.23,26
Nottm Forest,1.29,1.21,2.50,,0.31,2.46,2.77,,0.81,1.81,2.63,27
Southampton,1.00,1.71,2.71,,0.64,1.57,2.21,,0.82,1.64,2.46,28
Tottenham,2.07,1.14,3.21,,1.64,1.71,3.36,,1.86,1.43,3.29,28
West Ham Utd,1.31,1.08,2.38,,0.54,1.54,2.08,,0.92,1.31,2.23,26
Wolverhampton,0.86,1.36,2.21,,0.71,1.57,2.29,,0.79,1.46,2.25,28
