Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Aluminium Arak,1.00,0.67,1.67,,0.36,0.27,0.64,,0.70,0.48,1.17,23
Esteghlal,1.45,0.73,2.18,,1.42,0.75,2.17,,1.43,0.74,2.17,23
Foolad,0.67,0.75,1.42,,0.91,1.00,1.91,,0.78,0.87,1.65,23
Gol Gohar,1.50,1.08,2.58,,1.55,1.09,2.64,,1.52,1.09,2.61,23
Havadar,0.67,1.08,1.75,,0.73,0.73,1.45,,0.70,0.91,1.61,23
Malavan,1.09,0.91,2.00,,0.42,1.17,1.58,,0.74,1.04,1.78,23
Mes Kerman,1.27,0.91,2.18,,0.33,1.25,1.58,,0.78,1.09,1.87,23
Mes Rafsanjan,1.09,0.18,1.27,,0.75,0.58,1.33,,0.91,0.39,1.30,23
N. Mazandaran,1.36,0.82,2.18,,0.75,1.75,2.50,,1.04,1.30,2.35,23
Naft Masjed S.,0.73,1.64,2.36,,0.58,2.58,3.17,,0.65,2.13,2.78,23
Paykan,0.36,0.45,0.82,,0.50,1.08,1.58,,0.43,0.78,1.22,23
Persepolis,1.08,0.33,1.42,,1.45,0.73,2.18,,1.26,0.52,1.78,23
Sanat Naft,0.50,1.33,1.83,,0.64,1.45,2.09,,0.57,1.39,1.96,23
Sepahan,2.09,0.73,2.82,,1.08,0.50,1.58,,1.57,0.61,2.17,23
Tractor Sazi,1.08,0.83,1.92,,1.45,1.27,2.73,,1.26,1.04,2.30,23
Zob Ahan,1.17,0.75,1.92,,0.36,0.73,1.09,,0.78,0.74,1.52,23
