Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Alaves,1.35,0.47,1.82,,1.06,1.19,2.25,,1.21,0.82,2.03,33
Albacete,1.38,0.81,2.19,,1.13,1.31,2.44,,1.25,1.06,2.31,32
Burgos,1.06,0.75,1.81,,0.47,0.59,1.06,,0.76,0.67,1.42,33
Cartagena,1.06,1.18,2.24,,1.25,1.00,2.25,,1.15,1.09,2.24,33
Eibar,1.25,0.50,1.75,,1.06,1.06,2.13,,1.16,0.78,1.94,32
FC Andorra,1.25,0.69,1.94,,0.81,1.13,1.94,,1.03,0.91,1.94,32
Granada,1.94,0.25,2.19,,0.75,1.19,1.94,,1.34,0.72,2.06,32
Huesca,1.19,0.50,1.69,,0.63,1.19,1.81,,0.91,0.84,1.75,32
Las Palmas,1.38,0.63,2.00,,1.00,0.69,1.69,,1.19,0.66,1.84,32
Leganes,1.06,0.82,1.88,,0.60,1.07,1.67,,0.84,0.94,1.78,32
Levante,1.19,0.44,1.63,,1.00,0.88,1.88,,1.09,0.67,1.76,33
Lugo,0.63,0.81,1.44,,0.65,1.82,2.47,,0.64,1.33,1.97,33
Malaga,0.88,1.00,1.88,,0.75,1.31,2.06,,0.81,1.16,1.97,32
Mirandes,1.53,1.24,2.76,,0.80,1.33,2.13,,1.19,1.28,2.47,32
Ponferradina,0.88,1.13,2.00,,0.81,1.38,2.19,,0.84,1.25,2.09,32
Racing,0.75,0.88,1.63,,0.82,0.94,1.76,,0.79,0.91,1.70,33
Real Oviedo,0.56,0.63,1.19,,0.69,0.94,1.63,,0.63,0.78,1.41,32
Real Zaragoza,1.00,0.80,1.80,,0.71,1.06,1.76,,0.84,0.94,1.78,32
Sporting Gijon,1.38,1.00,2.38,,0.50,1.13,1.63,,0.94,1.06,2.00,32
Tenerife,1.19,0.63,1.81,,0.71,1.29,2.00,,0.94,0.97,1.91,33
UD Ibiza,1.06,1.24,2.29,,0.56,1.69,2.25,,0.82,1.45,2.27,33
Villarreal B,1.63,1.06,2.69,,0.75,1.44,2.19,,1.19,1.25,2.44,32
