Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Daegu,1.33,1.50,2.83,,1.00,1.14,2.14,,1.15,1.31,2.46,13
Daejeon Citizen,1.50,1.17,2.67,,1.86,2.00,3.86,,1.69,1.62,3.31,13
Gangwon,0.67,1.50,2.17,,0.43,1.00,1.43,,0.54,1.23,1.77,13
Gwangju,1.00,0.71,1.71,,1.17,2.00,3.17,,1.08,1.31,2.38,13
Incheon Utd,0.86,1.00,1.86,,0.83,1.83,2.67,,0.85,1.38,2.23,13
Jeju Utd,1.00,1.33,2.33,,2.00,0.57,2.57,,1.54,0.92,2.46,13
Jeonbuk Motors,1.17,1.00,2.17,,1.00,0.86,1.86,,1.08,0.92,2.00,13
Pohang Steelers,1.57,1.14,2.71,,1.33,1.17,2.50,,1.46,1.15,2.62,13
Seoul,2.17,1.00,3.17,,2.00,1.57,3.57,,2.08,1.31,3.38,13
Suwon Bluewings,0.67,2.00,2.67,,1.00,1.29,2.29,,0.85,1.62,2.46,13
Suwon City,1.50,1.88,3.38,,0.60,1.80,2.40,,1.15,1.85,3.00,13
Ulsan,2.14,1.00,3.14,,1.83,0.67,2.50,,2.00,0.85,2.85,13
