Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Almeria,1.61,1.22,2.83,,1.00,2.29,3.29,,1.31,1.74,3.06,35
Athletic Bilbao,1.22,0.78,2.00,,1.41,1.47,2.88,,1.31,1.11,2.43,35
Atletico Madrid,2.12,0.82,2.94,,1.41,0.76,2.18,,1.76,0.79,2.56,34
Cadiz,1.00,1.28,2.28,,0.59,1.59,2.18,,0.80,1.43,2.23,35
Celta Vigo,1.35,1.12,2.47,,0.94,1.72,2.67,,1.14,1.43,2.57,35
Elche,0.94,1.59,2.53,,0.61,2.11,2.72,,0.77,1.86,2.63,35
Espanyol,1.24,1.71,2.94,,1.24,1.82,3.06,,1.24,1.76,3.00,34
FC Barcelona,1.89,0.22,2.11,,1.82,0.65,2.47,,1.86,0.43,2.29,35
Getafe,1.06,1.06,2.11,,0.71,1.47,2.18,,0.89,1.26,2.14,35
Girona,1.89,1.33,3.22,,1.24,1.53,2.76,,1.57,1.43,3.00,35
Mallorca,1.06,0.71,1.76,,0.83,1.56,2.39,,0.94,1.14,2.09,35
Osasuna,1.18,1.18,2.35,,0.71,0.94,1.65,,0.94,1.06,2.00,34
Rayo Vallecano,1.47,1.12,2.59,,0.94,1.53,2.47,,1.21,1.32,2.53,34
Real Betis,1.47,0.94,2.41,,1.06,1.29,2.35,,1.26,1.12,2.38,34
Real Madrid,2.41,0.82,3.24,,1.71,1.06,2.76,,2.06,0.94,3.00,34
Real Sociedad,1.35,0.88,2.24,,1.33,0.94,2.28,,1.34,0.91,2.26,35
Sevilla FC,1.35,1.35,2.71,,1.24,1.53,2.76,,1.29,1.44,2.74,34
Valencia,1.41,1.00,2.41,,0.82,1.41,2.24,,1.12,1.21,2.32,34
Valladolid,1.06,1.41,2.47,,0.67,2.11,2.78,,0.86,1.77,2.63,35
Villarreal,1.88,0.94,2.82,,1.22,1.11,2.33,,1.54,1.03,2.57,35
