Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Alaves,1.30,0.50,1.80,,0.95,1.10,2.05,,1.13,0.80,1.93,40
Albacete,1.40,0.90,2.30,,1.35,1.35,2.70,,1.38,1.13,2.50,40
Burgos,1.10,0.90,2.00,,0.50,0.70,1.20,,0.80,0.80,1.60,40
Cartagena,1.05,1.05,2.10,,1.20,1.05,2.25,,1.13,1.05,2.18,40
Eibar,1.10,0.55,1.65,,1.00,1.15,2.15,,1.05,0.85,1.90,40
FC Andorra,1.15,0.60,1.75,,0.95,1.05,2.00,,1.05,0.83,1.88,40
Granada,1.85,0.30,2.15,,0.65,1.15,1.80,,1.25,0.73,1.98,40
Huesca,1.15,0.60,1.75,,0.55,1.10,1.65,,0.85,0.85,1.70,40
Las Palmas,1.20,0.65,1.85,,1.05,0.75,1.80,,1.13,0.70,1.83,40
Leganes,1.10,0.90,2.00,,0.70,1.05,1.75,,0.90,0.98,1.88,40
Levante,1.15,0.50,1.65,,0.90,0.85,1.75,,1.03,0.68,1.70,40
Lugo,0.60,0.85,1.45,,0.65,1.90,2.55,,0.63,1.38,2.00,40
Malaga,0.95,0.80,1.75,,0.80,1.25,2.05,,0.88,1.03,1.90,40
Mirandes,1.55,1.25,2.80,,0.75,1.20,1.95,,1.15,1.23,2.38,40
Ponferradina,0.85,1.15,2.00,,0.90,1.40,2.30,,0.88,1.28,2.15,40
Racing,0.95,0.75,1.70,,0.85,1.15,2.00,,0.90,0.95,1.85,40
Real Oviedo,0.85,0.75,1.60,,0.75,0.90,1.65,,0.80,0.83,1.63,40
Real Zaragoza,1.20,0.75,1.95,,0.75,1.10,1.85,,0.98,0.93,1.90,40
Sporting Gijon,1.35,0.90,2.25,,0.65,1.20,1.85,,1.00,1.05,2.05,40
Tenerife,1.30,0.55,1.85,,0.65,1.20,1.85,,0.98,0.88,1.85,40
UD Ibiza,1.00,1.55,2.55,,0.55,1.70,2.25,,0.78,1.63,2.40,40
Villarreal B,1.50,1.05,2.55,,0.70,1.35,2.05,,1.10,1.20,2.30,40
