Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
BSC Young Boys,2.86,0.50,3.36,,1.69,0.92,2.62,,2.30,0.70,3.00,27
FC Basel,1.69,1.08,2.77,,1.00,1.29,2.29,,1.33,1.19,2.52,27
FC Zurich,1.14,1.43,2.57,,0.93,1.71,2.64,,1.04,1.57,2.61,28
Grasshopper,1.85,1.54,3.38,,1.14,1.71,2.86,,1.48,1.63,3.11,27
Lugano,1.50,1.36,2.86,,1.36,1.43,2.79,,1.43,1.39,2.82,28
Luzern,1.43,1.36,2.79,,1.64,1.43,3.07,,1.54,1.39,2.93,28
Servette,1.29,0.86,2.14,,1.14,1.57,2.71,,1.21,1.21,2.43,28
Sion,1.07,2.14,3.21,,1.46,1.69,3.15,,1.26,1.93,3.19,27
St. Gallen,1.85,1.00,2.85,,1.79,1.86,3.64,,1.81,1.44,3.26,27
Winterthur,0.93,1.64,2.57,,0.77,1.92,2.69,,0.85,1.78,2.63,27
