Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
Adana Demirspor,2.69,0.75,3.44,,1.63,1.56,3.19,,2.16,1.16,3.31,32
Alanyaspor,1.65,1.41,3.06,,1.41,2.24,3.65,,1.53,1.82,3.35,34
Ankaragucu,1.38,1.38,2.75,,1.00,1.50,2.50,,1.19,1.44,2.63,32
Antalyaspor,1.75,1.63,3.38,,0.94,1.56,2.50,,1.34,1.59,2.94,32
Basaksehir,1.56,1.00,2.56,,1.25,1.13,2.38,,1.41,1.06,2.47,32
Besiktas,2.19,0.75,2.94,,1.75,1.13,2.88,,1.97,0.94,2.91,32
F. Karagumruk,2.19,1.94,4.13,,2.06,1.69,3.75,,2.13,1.81,3.94,32
Fenerbahce,2.81,1.50,4.31,,2.13,0.94,3.06,,2.47,1.22,3.69,32
Galatasaray,2.24,0.88,3.12,,2.19,0.69,2.88,,2.21,0.79,3.00,33
Gaziantep,1.06,1.94,3.00,,0.88,1.81,2.69,,0.97,1.88,2.84,32
Giresunspor,1.31,1.56,2.88,,0.81,1.94,2.75,,1.06,1.75,2.81,32
Hatayspor,0.80,1.87,2.67,,0.44,2.50,2.94,,0.61,2.19,2.81,31
Istanbulspor,1.25,1.81,3.06,,1.18,1.88,3.06,,1.21,1.85,3.06,33
Kasimpasa,1.59,1.65,3.24,,0.81,1.50,2.31,,1.21,1.58,2.79,33
Kayserispor,1.65,1.24,2.88,,1.63,2.25,3.88,,1.64,1.73,3.36,33
Konyaspor,1.00,1.00,2.00,,1.75,1.19,2.94,,1.36,1.09,2.45,33
Sivasspor,1.31,1.25,2.56,,1.28,1.83,3.11,,1.29,1.56,2.85,34
Trabzonspor,1.81,0.69,2.50,,1.31,2.25,3.56,,1.56,1.47,3.03,32
Umraniyespor,1.31,1.63,2.94,,1.38,1.94,3.31,,1.34,1.78,3.13,32
